"","Gene1","Gene2","corA","corA_pVal","corB","corB_pVal","zScoreDiff","pValDiff","pValDiff_adj","Classes"
"1","KIF20A","TACC3",0.925556791919736,0,0.595123263501937,4.21356283197838e-11,-5.23345449423588,1.66370979739005e-07,0.0137290830113308,"+/+"
"2","CCNA2","TACC3",0.897532567281572,0,0.490816226629042,1.63057598090433e-07,-5.12967677623468,2.90240100499674e-07,0.0137290830113308,"+/+"
"3","LBR","LOC730101",-0.0623779531143472,0.673619322808578,0.689978158537795,8.88178419700125e-16,5.06363077858274,4.11345967501522e-07,0.0137290830113308,"0/+"
"4","FAM83D","TACC3",0.880720667305738,0,0.451916471472718,1.86186444794956e-06,-4.9606866556326,7.02444256206565e-07,0.0138804941004777,"+/+"
"5","ITPR1","POLR3D",0.457191069472627,0.00108763435662795,-0.364698987020481,0.000164203409427133,-4.87271716016745,1.10073756739888e-06,0.0138804941004777,"+/-"
"6","PLK1","TACC3",0.879151416374614,2.22044604925031e-16,0.460954450319083,1.08574489421365e-06,-4.85851487861453,1.18269522628925e-06,0.0138804941004777,"+/+"
"7","SPC25","TACC3",0.854770348589474,1.06581410364015e-14,0.381125897622533,7.75056505586402e-05,-4.85143812899327,1.22569447251262e-06,0.0138804941004777,"+/+"
"8","EFR3A","REEP5",-0.0243599910006306,0.869458368071921,0.688154046928283,1.33226762955019e-15,4.83242615923529,1.34879145564998e-06,0.0138804941004777,"0/+"
"9","NCAPG","TACC3",0.901395138790904,0,0.5490051235094,2.30743180118509e-09,-4.79821677430439,1.60084471320251e-06,0.0138804941004777,"+/+"
"10","TACC3","TPX2",0.921381455818755,0,0.626492292794362,1.88427051739382e-12,-4.79721363049693,1.60887984516786e-06,0.0138804941004777,"+/+"
"11","HMGB2","IQGAP2",0.682675851239263,9.0518286199881e-08,-0.0279045725726229,0.780702826691746,-4.79468470128857,1.62930887341232e-06,0.0138804941004777,"+/0"
"12","ITPR1","PTK7",0.364055537827211,0.0109679499150723,-0.446017384569442,2.62570695963582e-06,-4.79051595120175,1.663529973691e-06,0.0138804941004777,"+/-"
"13","CENPA","TACC3",0.885319415693679,0,0.503241941131608,7.01451181583934e-08,-4.70676144371011,2.51683142331067e-06,0.0193850228271731,"+/+"
"14","DCAF6","OPTN",-0.160314587755408,0.276386195444562,0.592388738679191,5.4382276459819e-11,4.68915770088548,2.74331914270392e-06,0.0196202185086184,"0/+"
"15","GTSE1","TACC3",0.883647522487028,0,0.505358574801127,6.05523027275012e-08,-4.64825406274568,3.34756440041358e-06,0.0223456618856408,"+/+"
"16","FAM83D","KIF20A",0.931091614642859,0,0.685761173331298,1.77635683940025e-15,-4.59779369360244,4.26988486432013e-06,0.024808477531526,"+/+"
"17","DLGAP5","TACC3",0.87941831413193,2.22044604925031e-16,0.501052014622327,8.15872187587274e-08,-4.57478555169974,4.76708018513753e-06,0.024808477531526,"+/+"
"18","KIF2C","TACC3",0.914598573629946,0,0.625514410749574,2.08699724169037e-12,-4.56617428069857,4.96705856335345e-06,0.024808477531526,"+/+"
"19","CDC20","TACC3",0.897401177896491,0,0.564359356363562,6.51418474717502e-10,-4.55818100904628,5.15985591856743e-06,0.024808477531526,"+/+"
"20","CYLD","ITSN2",0.0242434738369584,0.870077387764621,0.686412897636709,1.77635683940025e-15,4.54367879333319,5.52808744538432e-06,0.024808477531526,"0/+"
"21","PTK7","SUV39H2",0.694656070776148,4.32741784628377e-08,0.0411973408205562,0.68098494804342,-4.53691959729474,5.70818561794215e-06,0.024808477531526,"+/0"
"22","CENPE","TACC3",0.896790854002413,0,0.565739676252647,5.79559511493244e-10,-4.52951309721064,5.91197696640797e-06,0.024808477531526,"+/+"
"23","LOC100128191","TCF19",0.888165039138246,0,0.536511539016359,6.16653128560074e-09,-4.5271668276856,5.9779746010346e-06,0.024808477531526,"+/+"
"24","CCNB1","TACC3",0.838870737480215,9.76996261670138e-14,0.383014522840289,7.091228817524e-05,-4.52626724864101,6.00346515465876e-06,0.024808477531526,"+/+"
"25","CYLD","NCEH1",0.773991196057603,1.10755626892001e-10,0.215322172882452,0.0297496233541865,-4.51346683817743,6.3776425629566e-06,0.024808477531526,"+/+"
"26","DEK","PRIM2",0.865517846495565,2.22044604925031e-15,0.465141737718442,8.41238893656282e-07,-4.5113392808484,6.44195845137899e-06,0.024808477531526,"+/+"
"27","ITPR1","REEP5",-0.421559863516158,0.00284404969223151,0.34379393874445,0.000403422093523176,4.49408366759365,6.98701552146516e-06,0.0259109588938246,"-/+"
"28","E2F2","IQGAP2",0.618239508079288,2.83544567025729e-06,-0.0818466197852207,0.413473663293159,-4.47297143889272,7.71400841676166e-06,0.0275852940983397,"+/0"
"29","ITPR1","LRRC59",0.290375683305885,0.0452717823029194,-0.463652842968363,9.21485753258011e-07,-4.45489714299361,8.3933424448899e-06,0.0282792093065893,"+/-"
"30","DDX52","GMPS",-0.372919926812737,0.00904170182343123,0.384984033032783,6.45958009481973e-05,4.43697204683559,9.12331356345838e-06,0.0282792093065893,"-/+"
"31","CCNF","TACC3",0.868745394499452,1.33226762955019e-15,0.485999587655459,2.24125307646261e-07,-4.43376880207119,9.25999269486551e-06,0.0282792093065893,"+/+"
"32","ITSN2","MKL2",-0.0764966229096518,0.605315196030684,0.61709806829031,4.95470331429715e-12,4.43276100655671,9.30339733822644e-06,0.0282792093065893,"0/+"
"33","CCNB1","PPM1G",0.66909820643826,2.00598035515753e-07,0.0122267543445474,0.902925292865493,-4.43237186489095,9.32020920339413e-06,0.0282792093065893,"+/0"
"34","IQGAP2","MARCKSL1",0.39480152117595,0.00548705932500004,-0.356731455017715,0.000232993148130856,-4.39749718981368,1.09506302177718e-05,0.0322489618366192,"+/-"
"35","IQGAP2","KIF22",0.54240119429809,6.82336721633536e-05,-0.174086188647608,0.0801349308354031,-4.35754832507619,1.3152746397031e-05,0.0366597839209361,"+/0"
"36","DUSP22","ITPR1",-0.326986699379499,0.0233005467868361,0.415273675906472,1.42458078671304e-05,4.34636103047857,1.38414677170124e-05,0.0366597839209361,"-/+"
"37","DCAF6","PYCR1",0.134078267529027,0.363589284529725,-0.569110859300149,4.34644764624181e-10,-4.34457928852156,1.39542836558183e-05,0.0366597839209361,"0/-"
"38","PRRT3","SPSB4",0.488147995040953,0.000432019539033712,-0.241793523190372,0.0143514719869895,-4.34016811200908,1.42373752339444e-05,0.0366597839209361,"+/-"
"39","CKAP2L","TACC3",0.879009530450672,2.22044604925031e-16,0.531014129099473,9.38529698402135e-09,-4.33757312995034,1.44064607631537e-05,0.0366597839209361,"+/+"
"40","KIF4A","TACC3",0.888785098234484,0,0.563389879253464,7.06925629145871e-10,-4.32916951948846,1.4967269227306e-05,0.0366597839209361,"+/+"
"41","ASF1B","TCF19",0.918866564954336,0,0.666324999109665,2.1316282072803e-14,-4.32508913855607,1.52470196157613e-05,0.0366597839209361,"+/+"
"42","CDK1","TACC3",0.831914755316133,2.38919994899334e-13,0.395207438632567,3.94188975612053e-05,-4.3182657533595,1.57260007617912e-05,0.0366597839209361,"+/+"
"43","HMMR","SMARCE1",-0.157236401758685,0.285833353533093,0.549573742388353,2.20434737130404e-09,4.31801945877443,1.57435553351735e-05,0.0366597839209361,"0/+"
"44","BUB1","TACC3",0.88351458991455,0,0.548584604443213,2.38662489771002e-09,-4.31183364204781,1.61906233646406e-05,0.0368439712785167,"+/+"
"45","MELK","TACC3",0.886211766096622,0,0.558261488046036,1.08478936944323e-09,-4.30337526660474,1.68215569456966e-05,0.0374290856413047,"+/+"
"46","CDKN2C","LAPTM4B",-0.42237625997942,0.00278524904429744,0.311473506691139,0.0014394527801691,4.29819027105936,1.72198314890138e-05,0.0374823323333038,"-/+"
"47","SPSB4","TOLLIP",0.375423712527698,0.00855360579509679,-0.359470928297225,0.000206795760401945,-4.28841679673729,1.79951182559642e-05,0.0383364936326209,"+/-"
"48","LOC81691","RNF122",-0.115138885800121,0.435817623819748,0.573520447110326,2.96850544145855e-10,4.27398251148921,1.92012102928284e-05,0.0396779106768742,"0/+"
"49","CCNB2","TACC3",0.861748590438737,3.77475828372553e-15,0.487017058719792,2.09644841708823e-07,-4.27148772108737,1.94173220594323e-05,0.0396779106768742,"+/+"
"50","KIF11","TACC3",0.871918353768153,8.88178419700125e-16,0.520451336309364,2.06031451899236e-08,-4.2498543857327,2.13909528794616e-05,0.0418340795479979,"+/+"
"51","PRRT3","RAD18",0.448515511666445,0.00138766071819085,-0.273070370784337,0.00548853084251721,-4.24402530330285,2.19545580215045e-05,0.0418340795479979,"+/-"
"52","CDCA5","TACC3",0.904173137644858,0,0.624256737103319,2.37876385256186e-12,-4.24214136514295,2.21397157375602e-05,0.0418340795479979,"+/+"
"53","CDT1","TCF19",0.90178251150136,0,0.616294640039007,5.37392352839561e-12,-4.24210080678827,2.21437182011414e-05,0.0418340795479979,"+/+"
"54","CYLD","MAD2L2",-0.0301691273928676,0.838701694007693,-0.659554486616532,4.75175454539567e-14,-4.2375030878692,2.26019312162956e-05,0.0419090031263934,"0/-"
"55","DDX52","G3BP1",-0.138380002374566,0.348256613866743,0.551483110289401,1.8895449649392e-09,4.22603005461956,2.37850238038434e-05,0.0429726068477645,"0/+"
"56","FAM72D","SOX11",0.112292198836815,0.447324004636866,0.702339933887165,2.22044604925031e-16,4.2224255630949,2.41687229403449e-05,0.0429726068477645,"0/+"
"57","AURKB","TACC3",0.850611496386081,1.95399252334028e-14,0.46189331558611,1.02567616067084e-06,-4.21969713582805,2.44630731695687e-05,0.0429726068477645,"+/+"
"58","HMMR","NOL11",-0.125918536142412,0.393773027131118,0.558803234979999,1.03716768506956e-09,4.21433888718879,2.50510902544108e-05,0.0432468200860973,"0/+"
"59","RAD18","SMARCE1",-0.260378538856945,0.0738768673653856,0.452489695186255,1.80007763472823e-06,4.19575687392505,2.71961859570481e-05,0.0459086388771164,"0/+"
"60","CPEB1","SOX4",-0.679982188277908,1.06351845774455e-07,-0.0753322692502151,0.451743183485984,4.19166680201326,2.769124836403e-05,0.0459086388771164,"-/0"
"61","REEP5","SPSB4",0.0947531770878243,0.52177694086982,-0.577138287527769,2.16187956425529e-10,-4.18940673592188,2.79684700733471e-05,0.0459086388771164,"0/-"
"62","CDCA3","TACC3",0.842015245614399,6.43929354282591e-14,0.443357811456251,3.059492526436e-06,-4.18082286725774,2.90456068447648e-05,0.0467208747781102,"+/+"
"63","IQGAP2","LOC81691",0.446581756931397,0.00146383255680771,-0.264256356020359,0.00727794298501516,-4.1777362153878,2.94424828752036e-05,0.0467208747781102,"+/-"
"64","CSTF2","POLR1B",-0.00194052856320399,0.98955599878111,0.634301101286571,8.22675261247241e-13,4.17450752409727,2.98631350451328e-05,0.0467208747781102,"0/+"
"65","RRM2","TACC3",0.853221786385703,1.33226762955019e-14,0.477921427045655,3.77997122491536e-07,-4.158219034795,3.20738411089406e-05,0.0494075317316308,"+/+"
